City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Port Elizabeth,ZA,2020-02-17 03:14:51,-33.92,25.57,69.8,83,75,19.46
163,San Andres,CO,2020-02-17 03:14:51,12.58,-81.7,80.6,78,40,13.87
164,Ancud,CL,2020-02-17 03:14:51,-41.87,-73.82,50.0,100,100,2.24
165,Tommot,RU,2020-02-17 03:14:52,58.96,126.29,9.82,92,100,7.67
166,Khuzdar,PK,2020-02-17 03:14:52,27.74,66.64,52.54,27,0,2.77
167,Teguise,ES,2020-02-17 03:14:52,29.06,-13.56,62.6,88,0,10.29
168,Touros,BR,2020-02-17 03:14:52,-5.2,-35.46,80.6,83,40,3.36
169,La Ronge,CA,2020-02-17 03:14:53,55.1,-105.28,1.4,77,90,3.36
170,Deniliquin,AU,2020-02-17 03:14:53,-35.53,144.97,90.48,26,0,6.91
171,Beringovskiy,RU,2020-02-17 03:14:53,63.05,179.32,-3.35,92,100,24.05
172,Zaragoza,ES,2020-02-17 03:14:53,41.66,-0.88,46.99,100,13,4.7
173,Tromso,NO,2020-02-17 03:14:54,69.65,18.96,30.2,100,90,8.05
174,Sitka,US,2020-02-17 03:14:54,57.05,-135.33,37.4,93,75,8.75
175,Aklavik,CA,2020-02-17 03:14:54,68.22,-135.01,-22.0,74,5,4.7
176,Stephenville,US,2020-02-17 03:14:54,32.22,-98.2,66.2,44,1,4.7
177,Saint-Philippe,RE,2020-02-17 03:14:54,-21.36,55.77,77.0,65,30,4.7
178,Sistranda,NO,2020-02-17 03:14:55,63.73,8.83,41.0,69,95,12.75
179,Juneau,US,2020-02-17 03:13:00,58.3,-134.42,28.4,92,90,2.08
180,Hofn,IS,2020-02-17 03:14:55,64.25,-15.21,41.59,57,100,9.66
181,Katima Mulilo,NA,2020-02-17 03:14:55,-17.5,24.27,67.28,93,26,2.73
182,Nishihara,JP,2020-02-17 03:14:55,26.18,127.76,57.2,62,75,18.34
183,Chara,RU,2020-02-17 03:14:56,56.91,118.26,10.0,93,100,2.06
184,Celestun,MX,2020-02-17 03:14:56,20.87,-90.4,77.25,82,56,20.07
185,North Bend,US,2020-02-17 03:14:56,43.41,-124.22,46.4,86,1,1.86
